2026-06-28 09:10:10 | === run 'gptbert_small_v1' | device=mps | config=small (33.0M params) ===
2026-06-28 09:10:10 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-28 09:10:10 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-28 09:10:10 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/train.log
2026-06-28 09:53:18 | [0:43:07] [#-----------------------]   5.9% | step    580/9860 | ep 0 | masked | loss  3.637 | lr 4.98e-04 |   5.82M words |  3672 tok/s | ETA 11:30:03
2026-06-28 09:54:39 |   >> saved checkpoint chck_6M at 6.00M words
2026-06-28 09:54:48 | [0:44:37] [#-----------------------]   6.1% | step    600/9860 | ep 0 | masked | loss  3.825 | lr 4.98e-04 |   6.02M words |  3672 tok/s | ETA 11:28:41
2026-06-28 09:56:17 | [0:46:06] [#-----------------------]   6.3% | step    620/9860 | ep 0 | masked | loss  4.155 | lr 4.98e-04 |   6.22M words |  3672 tok/s | ETA 11:27:11
2026-06-28 09:57:46 | [0:47:35] [#-----------------------]   6.5% | step    640/9860 | ep 0 | masked | loss  3.882 | lr 4.97e-04 |   6.42M words |  3672 tok/s | ETA 11:25:40
2026-06-28 09:59:15 | [0:49:04] [#-----------------------]   6.7% | step    660/9860 | ep 0 | causal | loss  3.933 | lr 4.97e-04 |   6.62M words |  3672 tok/s | ETA 11:24:08
2026-06-28 10:00:45 | [0:50:34] [#-----------------------]   6.9% | step    680/9860 | ep 0 | masked | loss  3.781 | lr 4.97e-04 |   6.82M words |  3672 tok/s | ETA 11:22:40
2026-06-28 10:02:05 |   >> saved checkpoint chck_7M at 7.00M words
2026-06-28 10:02:14 | [0:52:03] [#-----------------------]   7.1% | step    700/9860 | ep 0 | masked | loss  3.988 | lr 4.97e-04 |   7.03M words |  3672 tok/s | ETA 11:21:13
2026-06-28 10:03:43 | [0:53:32] [#-----------------------]   7.3% | step    720/9860 | ep 0 | masked | loss  3.711 | lr 4.96e-04 |   7.23M words |  3672 tok/s | ETA 11:19:46
2026-06-28 10:05:13 | [0:55:02] [#-----------------------]   7.5% | step    740/9860 | ep 0 | masked | loss  3.714 | lr 4.96e-04 |   7.43M words |  3672 tok/s | ETA 11:18:16
2026-06-28 10:06:42 | [0:56:31] [#-----------------------]   7.7% | step    760/9860 | ep 0 | masked | loss  3.788 | lr 4.96e-04 |   7.63M words |  3672 tok/s | ETA 11:16:43
2026-06-28 10:08:11 | [0:58:00] [#-----------------------]   7.9% | step    780/9860 | ep 0 | masked | loss  3.852 | lr 4.96e-04 |   7.83M words |  3672 tok/s | ETA 11:15:12
2026-06-28 10:09:31 |   >> saved checkpoint chck_8M at 8.01M words
2026-06-28 10:09:40 | [0:59:29] [#-----------------------]   8.1% | step    800/9860 | ep 0 | masked | loss  3.106 | lr 4.95e-04 |   8.03M words |  3672 tok/s | ETA 11:13:43
2026-06-28 10:11:09 | [1:00:58] [#-----------------------]   8.3% | step    820/9860 | ep 0 | masked | loss  3.791 | lr 4.95e-04 |   8.23M words |  3672 tok/s | ETA 11:12:16
2026-06-28 10:12:38 | [1:02:27] [##----------------------]   8.5% | step    840/9860 | ep 0 | masked | loss  3.509 | lr 4.95e-04 |   8.43M words |  3672 tok/s | ETA 11:10:46
2026-06-28 10:14:07 | [1:03:56] [##----------------------]   8.7% | step    860/9860 | ep 0 | masked | loss  3.807 | lr 4.94e-04 |   8.63M words |  3673 tok/s | ETA 11:09:09
2026-06-28 10:15:37 | [1:05:26] [##----------------------]   8.9% | step    880/9860 | ep 0 | masked | loss  3.667 | lr 4.94e-04 |   8.83M words |  3672 tok/s | ETA 11:07:44
2026-06-28 10:16:52 |   >> saved checkpoint chck_9M at 9.00M words
2026-06-28 10:17:06 | [1:06:55] [##----------------------]   9.1% | step    900/9860 | ep 0 | masked | loss  3.906 | lr 4.93e-04 |   9.03M words |  3672 tok/s | ETA 11:06:14
2026-06-28 10:18:35 | [1:08:24] [##----------------------]   9.3% | step    920/9860 | ep 0 | masked | loss  3.737 | lr 4.93e-04 |   9.23M words |  3672 tok/s | ETA 11:04:44
2026-06-28 10:20:04 | [1:09:53] [##----------------------]   9.5% | step    940/9860 | ep 0 | masked | loss  3.556 | lr 4.93e-04 |   9.43M words |  3672 tok/s | ETA 11:03:16
2026-06-28 10:21:33 | [1:11:22] [##----------------------]   9.7% | step    960/9860 | ep 0 | masked | loss  3.241 | lr 4.92e-04 |   9.63M words |  3673 tok/s | ETA 11:01:43
2026-06-28 10:23:03 | [1:12:52] [##----------------------]   9.9% | step    980/9860 | ep 0 | masked | loss  3.082 | lr 4.92e-04 |   9.84M words |  3672 tok/s | ETA 11:00:17
