2026-07-05 21:43:56 | === MP-DPO 'gptbert_small_dpo_s43' | device=mps ===
2026-07-05 21:43:56 | init=/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M
2026-07-05 21:43:56 | ref =/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M (frozen)
2026-07-05 21:43:56 | steps=1500 pairs/step=16 beta=0.1 lr=1e-05 mle_mix=0.5@1.0 | ckpt every 250
2026-07-05 21:48:33 | [0:04:36] step   310/1500 | dpo 0.5995 | pref-acc 0.744 | mle  2.419 | margin +2.38 | lr 9.34e-06 | 0.287M words | ETA 0:17:41
2026-07-05 21:48:42 | [0:04:45] step   320/1500 | dpo 0.6043 | pref-acc 0.675 | mle  2.333 | margin +2.39 | lr 9.29e-06 | 0.295M words | ETA 0:17:31
2026-07-05 21:48:48 | [0:04:51] step   330/1500 | dpo 0.5788 | pref-acc 0.769 | mle    nan | margin +2.85 | lr 9.23e-06 | 0.300M words | ETA 0:17:13
2026-07-05 21:48:59 | [0:05:02] step   340/1500 | dpo 0.6359 | pref-acc 0.762 | mle  2.481 | margin +1.70 | lr 9.17e-06 | 0.313M words | ETA 0:17:11
2026-07-05 21:49:09 | [0:05:12] step   350/1500 | dpo 0.5273 | pref-acc 0.762 | mle  2.023 | margin +3.85 | lr 9.11e-06 | 0.324M words | ETA 0:17:07
2026-07-05 21:49:16 | [0:05:19] step   360/1500 | dpo 0.5622 | pref-acc 0.713 | mle    nan | margin +3.38 | lr 9.05e-06 | 0.330M words | ETA 0:16:52
2026-07-05 21:49:22 | [0:05:25] step   370/1500 | dpo 0.5689 | pref-acc 0.775 | mle    nan | margin +3.02 | lr 8.98e-06 | 0.334M words | ETA 0:16:32
2026-07-05 21:49:30 | [0:05:33] step   380/1500 | dpo 0.5402 | pref-acc 0.713 | mle  2.211 | margin +3.54 | lr 8.91e-06 | 0.343M words | ETA 0:16:23
2026-07-05 21:49:40 | [0:05:43] step   390/1500 | dpo 0.5472 | pref-acc 0.756 | mle  2.321 | margin +3.68 | lr 8.84e-06 | 0.355M words | ETA 0:16:18
2026-07-05 21:49:49 | [0:05:52] step   400/1500 | dpo 0.5073 | pref-acc 0.850 | mle    nan | margin +4.69 | lr 8.77e-06 | 0.363M words | ETA 0:16:09
