2026-06-30 01:12:01 | === run 'gptbert_small_contrastive_v1' | device=mps | config=small (33.0M params) ===
2026-06-30 01:12:01 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-30 01:12:01 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-30 01:12:01 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_contrastive_v1/train.log
2026-06-30 01:12:01 | CONTRASTIVE ON | 834,593 sentences | cw=0.5 n_neg=2 c_bs=16 temp=1.0 norm=False | 120 function-word ids
2026-06-30 01:54:58 | [0:42:57] [#-----------------------]   5.3% | step    520/9860 | ep 0 | masked | loss  5.009 | closs  0.686 | lr 4.99e-04 |   5.22M words |  3306 tok/s | ETA 12:51:26
2026-06-30 01:56:37 | [0:44:35] [#-----------------------]   5.5% | step    540/9860 | ep 0 | masked | loss  4.649 | closs  0.201 | lr 4.98e-04 |   5.42M words |  3307 tok/s | ETA 12:49:35
2026-06-30 01:58:15 | [0:46:13] [#-----------------------]   5.7% | step    560/9860 | ep 0 | masked | loss  5.130 | closs  0.330 | lr 4.98e-04 |   5.62M words |  3308 tok/s | ETA 12:47:44
2026-06-30 01:59:54 | [0:47:52] [#-----------------------]   5.9% | step    580/9860 | ep 0 | masked | loss  4.846 | closs  0.343 | lr 4.98e-04 |   5.82M words |  3308 tok/s | ETA 12:45:59
2026-06-30 02:01:23 |   >> saved checkpoint chck_6M at 6.00M words
2026-06-30 02:01:33 | [0:49:31] [#-----------------------]   6.1% | step    600/9860 | ep 0 | masked | loss  4.974 | closs  0.466 | lr 4.98e-04 |   6.02M words |  3308 tok/s | ETA 12:44:24
2026-06-30 02:03:11 | [0:51:10] [#-----------------------]   6.3% | step    620/9860 | ep 0 | masked | loss  5.259 | closs  0.470 | lr 4.98e-04 |   6.22M words |  3308 tok/s | ETA 12:42:38
2026-06-30 02:04:50 | [0:52:48] [#-----------------------]   6.5% | step    640/9860 | ep 0 | masked | loss  5.056 | closs  0.304 | lr 4.97e-04 |   6.42M words |  3309 tok/s | ETA 12:40:51
2026-06-30 02:06:28 | [0:54:27] [#-----------------------]   6.7% | step    660/9860 | ep 0 | causal | loss  4.629 | closs  0.237 | lr 4.97e-04 |   6.62M words |  3310 tok/s | ETA 12:39:04
2026-06-30 02:08:07 | [0:56:05] [#-----------------------]   6.9% | step    680/9860 | ep 0 | masked | loss  4.884 | closs  0.330 | lr 4.97e-04 |   6.82M words |  3310 tok/s | ETA 12:37:17
2026-06-30 02:09:36 |   >> saved checkpoint chck_7M at 7.00M words
2026-06-30 02:09:46 | [0:57:44] [#-----------------------]   7.1% | step    700/9860 | ep 0 | masked | loss  4.956 | closs  0.445 | lr 4.97e-04 |   7.03M words |  3310 tok/s | ETA 12:35:39
2026-06-30 02:11:25 | [0:59:23] [#-----------------------]   7.3% | step    720/9860 | ep 0 | masked | loss  4.851 | closs  0.506 | lr 4.96e-04 |   7.23M words |  3310 tok/s | ETA 12:33:56
2026-06-30 02:13:03 | [1:01:01] [#-----------------------]   7.5% | step    740/9860 | ep 0 | masked | loss  4.744 | closs  0.130 | lr 4.96e-04 |   7.43M words |  3311 tok/s | ETA 12:32:11
2026-06-30 02:14:41 | [1:02:40] [#-----------------------]   7.7% | step    760/9860 | ep 0 | masked | loss  4.684 | closs  0.898 | lr 4.96e-04 |   7.63M words |  3311 tok/s | ETA 12:30:23
2026-06-30 02:16:20 | [1:04:18] [#-----------------------]   7.9% | step    780/9860 | ep 0 | masked | loss  4.793 | closs  0.618 | lr 4.96e-04 |   7.83M words |  3312 tok/s | ETA 12:28:39
2026-06-30 02:17:49 |   >> saved checkpoint chck_8M at 8.01M words
2026-06-30 02:18:00 | [1:05:58] [#-----------------------]   8.1% | step    800/9860 | ep 0 | masked | loss  3.976 | closs  0.309 | lr 4.95e-04 |   8.03M words |  3311 tok/s | ETA 12:27:10
2026-06-30 02:19:39 | [1:07:37] [#-----------------------]   8.3% | step    820/9860 | ep 0 | masked | loss  4.775 | closs  0.206 | lr 4.95e-04 |   8.23M words |  3311 tok/s | ETA 12:25:34
2026-06-30 02:21:17 | [1:09:16] [##----------------------]   8.5% | step    840/9860 | ep 0 | masked | loss  4.470 | closs  0.236 | lr 4.95e-04 |   8.43M words |  3311 tok/s | ETA 12:23:48
