2026-07-02 17:07:38 | === run 'gptbert_small_slm_v1' | device=mps | config=small (33.0M params) ===
2026-07-02 17:07:38 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-02 17:07:38 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-07-02 17:07:38 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_slm_v1/train.log
2026-07-02 17:07:38 | optimizer: AdamW (lr=0.0005)
2026-07-02 17:07:38 | SLM ON | ref=/Users/admin1/Downloads/babylm-eval/data/processed/ref_nll_final.pt | keep top 60% of tokens by excess loss (mean scored ref NLL 3.285)
2026-07-02 17:47:08 | [0:39:29] [#-----------------------]   5.3% | step    520/9860 | ep 0 | masked | loss  4.774 | all  3.937 | lr 4.99e-04 |   5.22M words |  3595 tok/s | ETA 11:49:27
2026-07-02 17:48:39 | [0:41:01] [#-----------------------]   5.5% | step    540/9860 | ep 0 | masked | loss  4.048 | all  3.722 | lr 4.98e-04 |   5.42M words |  3595 tok/s | ETA 11:47:55
2026-07-02 17:50:10 | [0:42:32] [#-----------------------]   5.7% | step    560/9860 | ep 0 | masked | loss  4.779 | all  4.042 | lr 4.98e-04 |   5.62M words |  3595 tok/s | ETA 11:46:26
2026-07-02 17:51:41 | [0:44:02] [#-----------------------]   5.9% | step    580/9860 | ep 0 | masked | loss  4.470 | all  3.828 | lr 4.98e-04 |   5.82M words |  3596 tok/s | ETA 11:44:43
2026-07-02 17:53:02 |   >> saved checkpoint chck_6M at 6.00M words
2026-07-02 17:53:11 | [0:45:33] [#-----------------------]   6.1% | step    600/9860 | ep 0 | masked | loss  4.568 | all  3.998 | lr 4.98e-04 |   6.02M words |  3597 tok/s | ETA 11:43:00
2026-07-02 17:54:41 | [0:47:02] [#-----------------------]   6.3% | step    620/9860 | ep 0 | masked | loss  4.844 | all  4.308 | lr 4.98e-04 |   6.22M words |  3599 tok/s | ETA 11:41:06
2026-07-02 17:56:11 | [0:48:32] [#-----------------------]   6.5% | step    640/9860 | ep 0 | masked | loss  4.658 | all  4.058 | lr 4.97e-04 |   6.42M words |  3600 tok/s | ETA 11:39:20
2026-07-02 17:57:40 | [0:50:01] [#-----------------------]   6.7% | step    660/9860 | ep 0 | causal | loss  5.016 | all  3.902 | lr 4.97e-04 |   6.62M words |  3602 tok/s | ETA 11:37:23
2026-07-02 17:59:11 | [0:51:32] [#-----------------------]   6.9% | step    680/9860 | ep 0 | masked | loss  4.572 | all  3.994 | lr 4.97e-04 |   6.82M words |  3602 tok/s | ETA 11:35:52
2026-07-02 18:00:32 |   >> saved checkpoint chck_7M at 7.00M words
2026-07-02 18:00:41 | [0:53:03] [#-----------------------]   7.1% | step    700/9860 | ep 0 | masked | loss  4.664 | all  4.132 | lr 4.97e-04 |   7.03M words |  3603 tok/s | ETA 11:34:15
2026-07-02 18:02:12 | [0:54:33] [#-----------------------]   7.3% | step    720/9860 | ep 0 | masked | loss  4.458 | all  3.910 | lr 4.96e-04 |   7.23M words |  3603 tok/s | ETA 11:32:37
2026-07-02 18:03:41 | [0:56:03] [#-----------------------]   7.5% | step    740/9860 | ep 0 | masked | loss  4.489 | all  3.923 | lr 4.96e-04 |   7.43M words |  3605 tok/s | ETA 11:30:51
2026-07-02 18:05:13 | [0:57:34] [#-----------------------]   7.7% | step    760/9860 | ep 0 | masked | loss  4.458 | all  3.951 | lr 4.96e-04 |   7.63M words |  3604 tok/s | ETA 11:29:26
2026-07-02 18:06:44 | [0:59:05] [#-----------------------]   7.9% | step    780/9860 | ep 0 | masked | loss  4.477 | all  4.041 | lr 4.96e-04 |   7.83M words |  3604 tok/s | ETA 11:27:55
2026-07-02 18:08:06 |   >> saved checkpoint chck_8M at 8.01M words
2026-07-02 18:08:15 | [1:00:37] [#-----------------------]   8.1% | step    800/9860 | ep 0 | masked | loss  3.572 | all  3.307 | lr 4.95e-04 |   8.03M words |  3604 tok/s | ETA 11:26:32
2026-07-02 18:09:45 | [1:02:07] [#-----------------------]   8.3% | step    820/9860 | ep 0 | masked | loss  4.722 | all  3.990 | lr 4.95e-04 |   8.23M words |  3605 tok/s | ETA 11:24:49
2026-07-02 18:11:17 | [1:03:38] [##----------------------]   8.5% | step    840/9860 | ep 0 | masked | loss  4.184 | all  3.702 | lr 4.95e-04 |   8.43M words |  3604 tok/s | ETA 11:23:25
2026-07-02 18:12:50 | [1:05:11] [##----------------------]   8.7% | step    860/9860 | ep 0 | masked | loss  4.447 | all  4.028 | lr 4.94e-04 |   8.63M words |  3602 tok/s | ETA 11:22:16
2026-07-02 18:14:21 | [1:06:43] [##----------------------]   8.9% | step    880/9860 | ep 0 | masked | loss  4.291 | all  3.836 | lr 4.94e-04 |   8.83M words |  3601 tok/s | ETA 11:20:53
2026-07-02 18:15:39 |   >> saved checkpoint chck_9M at 9.00M words
2026-07-02 18:15:53 | [1:08:15] [##----------------------]   9.1% | step    900/9860 | ep 0 | masked | loss  4.648 | all  4.072 | lr 4.93e-04 |   9.03M words |  3601 tok/s | ETA 11:19:28
2026-07-02 18:17:24 | [1:09:45] [##----------------------]   9.3% | step    920/9860 | ep 0 | masked | loss  4.519 | all  3.997 | lr 4.93e-04 |   9.23M words |  3601 tok/s | ETA 11:17:56
2026-07-02 18:18:55 | [1:11:17] [##----------------------]   9.5% | step    940/9860 | ep 0 | masked | loss  4.344 | all  3.787 | lr 4.93e-04 |   9.43M words |  3601 tok/s | ETA 11:16:27
2026-07-02 18:20:26 | [1:12:48] [##----------------------]   9.7% | step    960/9860 | ep 0 | masked | loss  3.849 | all  3.451 | lr 4.92e-04 |   9.63M words |  3601 tok/s | ETA 11:14:56
2026-07-02 18:21:57 | [1:14:19] [##----------------------]   9.9% | step    980/9860 | ep 0 | masked | loss  3.504 | all  3.264 | lr 4.92e-04 |   9.84M words |  3601 tok/s | ETA 11:13:28
2026-07-02 18:23:16 |   >> saved checkpoint chck_10M at 10.01M words
2026-07-02 18:23:30 | [1:15:52] [##----------------------]  10.1% | step   1000/9860 | ep 1 | masked | loss  4.070 | all  3.729 | lr 4.92e-04 |  10.04M words |  3600 tok/s | ETA 11:12:14
2026-07-02 18:25:01 | [1:17:23] [##----------------------]  10.3% | step   1020/9860 | ep 1 | masked | loss  4.142 | all  3.808 | lr 4.91e-04 |  10.24M words |  3600 tok/s | ETA 11:10:44
2026-07-02 18:26:32 | [1:18:54] [##----------------------]  10.5% | step   1040/9860 | ep 1 | masked | loss  4.291 | all  3.922 | lr 4.91e-04 |  10.44M words |  3600 tok/s | ETA 11:09:08
2026-07-02 18:28:04 | [1:20:26] [##----------------------]  10.8% | step   1060/9860 | ep 1 | causal | loss  5.499 | all  4.495 | lr 4.90e-04 |  10.64M words |  3599 tok/s | ETA 11:07:45
2026-07-02 18:29:36 | [1:21:58] [##----------------------]  11.0% | step   1080/9860 | ep 1 | causal | loss  5.190 | all  4.290 | lr 4.90e-04 |  10.84M words |  3599 tok/s | ETA 11:06:22
2026-07-02 18:31:08 | [1:23:30] [##----------------------]  11.2% | step   1100/9860 | ep 1 | causal | loss  4.941 | all  4.100 | lr 4.89e-04 |  11.04M words |  3598 tok/s | ETA 11:04:57
2026-07-02 18:32:38 | [1:25:00] [##----------------------]  11.4% | step   1120/9860 | ep 1 | masked | loss  4.138 | all  3.813 | lr 4.89e-04 |  11.24M words |  3598 tok/s | ETA 11:03:22
2026-07-02 18:34:09 | [1:26:31] [##----------------------]  11.6% | step   1140/9860 | ep 1 | masked | loss  3.237 | all  3.151 | lr 4.88e-04 |  11.44M words |  3599 tok/s | ETA 11:01:49
2026-07-02 18:35:41 | [1:28:02] [##----------------------]  11.8% | step   1160/9860 | ep 1 | masked | loss  3.829 | all  3.575 | lr 4.88e-04 |  11.64M words |  3598 tok/s | ETA 11:00:21
2026-07-02 18:37:11 | [1:29:33] [##----------------------]  12.0% | step   1180/9860 | ep 1 | masked | loss  3.993 | all  3.578 | lr 4.87e-04 |  11.84M words |  3599 tok/s | ETA 10:58:47
2026-07-02 18:38:44 | [1:31:05] [##----------------------]  12.2% | step   1200/9860 | ep 1 | masked | loss  3.611 | all  3.310 | lr 4.87e-04 |  12.05M words |  3598 tok/s | ETA 10:57:24
2026-07-02 18:40:14 | [1:32:36] [##----------------------]  12.4% | step   1220/9860 | ep 1 | masked | loss  3.880 | all  3.545 | lr 4.86e-04 |  12.25M words |  3598 tok/s | ETA 10:55:48
2026-07-02 18:41:44 | [1:34:06] [###---------------------]  12.6% | step   1240/9860 | ep 1 | masked | loss  4.277 | all  3.700 | lr 4.86e-04 |  12.45M words |  3599 tok/s | ETA 10:54:12
2026-07-02 18:43:15 | [1:35:37] [###---------------------]  12.8% | step   1260/9860 | ep 1 | masked | loss  4.548 | all  4.058 | lr 4.85e-04 |  12.65M words |  3599 tok/s | ETA 10:52:38
2026-07-02 18:44:46 | [1:37:07] [###---------------------]  13.0% | step   1280/9860 | ep 1 | masked | loss  4.029 | all  3.774 | lr 4.85e-04 |  12.85M words |  3599 tok/s | ETA 10:51:05
2026-07-02 18:46:17 | [1:38:39] [###---------------------]  13.2% | step   1300/9860 | ep 1 | masked | loss  4.184 | all  3.826 | lr 4.84e-04 |  13.05M words |  3599 tok/s | ETA 10:49:38
2026-07-02 18:47:50 | [1:40:11] [###---------------------]  13.4% | step   1320/9860 | ep 1 | masked | loss  3.913 | all  3.613 | lr 4.84e-04 |  13.25M words |  3598 tok/s | ETA 10:48:15
2026-07-02 18:49:19 | [1:41:41] [###---------------------]  13.6% | step   1340/9860 | ep 1 | masked | loss  4.109 | all  3.672 | lr 4.83e-04 |  13.45M words |  3599 tok/s | ETA 10:46:32
2026-07-02 18:50:48 | [1:43:10] [###---------------------]  13.8% | step   1360/9860 | ep 1 | masked | loss  3.772 | all  3.457 | lr 4.82e-04 |  13.65M words |  3600 tok/s | ETA 10:44:50
2026-07-02 18:52:19 | [1:44:41] [###---------------------]  14.0% | step   1380/9860 | ep 1 | masked | loss  3.902 | all  3.489 | lr 4.82e-04 |  13.85M words |  3600 tok/s | ETA 10:43:19
2026-07-02 18:53:52 | [1:46:14] [###---------------------]  14.2% | step   1400/9860 | ep 1 | masked | loss  3.835 | all  3.532 | lr 4.81e-04 |  14.05M words |  3599 tok/s | ETA 10:42:00
2026-07-02 18:55:23 | [1:47:44] [###---------------------]  14.4% | step   1420/9860 | ep 1 | masked | loss  4.252 | all  3.901 | lr 4.80e-04 |  14.25M words |  3599 tok/s | ETA 10:40:23
2026-07-02 18:56:53 | [1:49:15] [###---------------------]  14.6% | step   1440/9860 | ep 1 | masked | loss  3.909 | all  3.617 | lr 4.80e-04 |  14.45M words |  3600 tok/s | ETA 10:38:48
2026-07-02 18:58:25 | [1:50:47] [###---------------------]  14.8% | step   1460/9860 | ep 1 | causal | loss  4.860 | all  4.119 | lr 4.79e-04 |  14.65M words |  3599 tok/s | ETA 10:37:24
2026-07-02 18:59:56 | [1:52:18] [###---------------------]  15.0% | step   1480/9860 | ep 1 | masked | loss  3.762 | all  3.437 | lr 4.79e-04 |  14.86M words |  3599 tok/s | ETA 10:35:53
2026-07-02 19:01:27 | [1:53:49] [###---------------------]  15.2% | step   1500/9860 | ep 1 | masked | loss  4.077 | all  3.699 | lr 4.78e-04 |  15.06M words |  3599 tok/s | ETA 10:34:22
2026-07-02 19:02:58 | [1:55:19] [###---------------------]  15.4% | step   1520/9860 | ep 1 | masked | loss  4.206 | all  3.790 | lr 4.77e-04 |  15.26M words |  3600 tok/s | ETA 10:32:47
2026-07-02 19:04:29 | [1:56:51] [###---------------------]  15.6% | step   1540/9860 | ep 1 | masked | loss  3.704 | all  3.359 | lr 4.77e-04 |  15.46M words |  3599 tok/s | ETA 10:31:20
2026-07-02 19:05:59 | [1:58:21] [###---------------------]  15.8% | step   1560/9860 | ep 1 | masked | loss  3.605 | all  3.270 | lr 4.76e-04 |  15.66M words |  3600 tok/s | ETA 10:29:42
2026-07-02 19:07:31 | [1:59:52] [###---------------------]  16.0% | step   1580/9860 | ep 1 | causal | loss  4.487 | all  3.672 | lr 4.75e-04 |  15.86M words |  3600 tok/s | ETA 10:28:13
2026-07-02 19:09:02 | [2:01:24] [###---------------------]  16.2% | step   1600/9860 | ep 1 | masked | loss  3.713 | all  3.517 | lr 4.74e-04 |  16.06M words |  3599 tok/s | ETA 10:26:45
2026-07-02 19:10:32 | [2:02:54] [###---------------------]  16.4% | step   1620/9860 | ep 1 | masked | loss  3.527 | all  3.300 | lr 4.74e-04 |  16.26M words |  3600 tok/s | ETA 10:25:10
2026-07-02 19:12:04 | [2:04:26] [###---------------------]  16.6% | step   1640/9860 | ep 1 | masked | loss  3.678 | all  3.353 | lr 4.73e-04 |  16.46M words |  3599 tok/s | ETA 10:23:41
2026-07-02 19:13:36 | [2:05:57] [####--------------------]  16.8% | step   1660/9860 | ep 1 | masked | loss  3.985 | all  3.700 | lr 4.72e-04 |  16.66M words |  3599 tok/s | ETA 10:22:13
2026-07-02 19:15:05 | [2:07:27] [####--------------------]  17.0% | step   1680/9860 | ep 1 | masked | loss  3.408 | all  3.154 | lr 4.72e-04 |  16.86M words |  3600 tok/s | ETA 10:20:35
2026-07-02 19:16:35 | [2:08:57] [####--------------------]  17.2% | step   1700/9860 | ep 1 | masked | loss  3.349 | all  3.177 | lr 4.71e-04 |  17.06M words |  3600 tok/s | ETA 10:19:00
2026-07-02 19:18:06 | [2:10:28] [####--------------------]  17.4% | step   1720/9860 | ep 1 | masked | loss  3.263 | all  3.165 | lr 4.70e-04 |  17.26M words |  3600 tok/s | ETA 10:17:28
2026-07-02 19:19:37 | [2:11:58] [####--------------------]  17.6% | step   1740/9860 | ep 1 | masked | loss  4.120 | all  3.781 | lr 4.69e-04 |  17.46M words |  3601 tok/s | ETA 10:15:53
2026-07-02 19:21:10 | [2:13:31] [####--------------------]  17.8% | step   1760/9860 | ep 1 | masked | loss  4.297 | all  3.780 | lr 4.68e-04 |  17.67M words |  3600 tok/s | ETA 10:14:32
2026-07-02 19:22:41 | [2:15:03] [####--------------------]  18.1% | step   1780/9860 | ep 1 | masked | loss  3.470 | all  3.291 | lr 4.68e-04 |  17.87M words |  3599 tok/s | ETA 10:13:04
